ID,Gender
11-2033.00-0,female
11-2033.00-1,female
11-2033.00-2,female
11-9199.11-0,male
11-9199.11-1,both
11-9199.11-2,both
11-9031.00-0,female
11-9031.00-1,female
11-9031.00-2,female
11-3013.01-0,male
11-3013.01-1,male
11-3013.01-2,male
11-9199.10-0,male
11-9199.10-1,male
11-9199.10-2,male
11-9171.00-0,female
11-9171.00-1,female
11-9171.00-2,female
11-9051.00-0,both
11-9051.00-1,both
11-9051.00-2,both
11-3071.04-0,both
11-3071.04-1,both
11-3071.04-2,both
11-1011.03-0,both
11-1011.03-1,both
11-1011.03-2,both
11-3012.00-0,both
11-3012.00-1,both
11-3012.00-2,both
13-1161.01-0,both
13-1161.01-1,both
13-1161.01-2,both
13-1023.00-0,both
13-1023.00-1,both
13-1023.00-2,both
13-2052.00-0,both
13-2052.00-1,both
13-2052.00-2,both
13-2031.00-0,both
13-2031.00-1,both
13-2031.00-2,both
13-2041.00-0,both
13-2041.00-1,both
13-2041.00-2,both
13-1199.00-0,both
13-1199.00-1,both
13-1199.00-2,both
13-1041.03-0,female
13-1041.03-1,female
13-1041.03-2,female
13-1041.08-0,both
13-1041.08-1,both
13-1041.08-2,both
13-1041.07-0,both
13-1041.07-1,both
13-1041.07-2,both
13-2053.00-0,both
13-2053.00-1,both
13-2053.00-2,both
15-1299.04-0,male
15-1299.04-1,male
15-1299.04-2,male
15-1299.03-0,both
15-1299.03-1,female
15-1299.03-2,both
15-1241.00-0,male
15-1241.00-1,male
15-1241.00-2,male
15-2099.01-0,both
15-2099.01-1,both
15-2099.01-2,both
15-2051.02-0,both
15-2051.02-1,both
15-2051.02-2,both
15-1242.00-0,both
15-1242.00-1,both
15-1242.00-2,male
15-1299.08-0,male
15-1299.08-1,male
15-1299.08-2,male
15-1299.01-0,both
15-1299.01-1,both
15-1299.01-2,both
15-2041.01-0,both
15-2041.01-1,both
15-2041.01-2,both
15-1299.09-0,both
15-1299.09-1,male
15-1299.09-2,both
17-2051.02-0,male
17-2051.02-1,male
17-2051.02-2,both
17-3029.08-0,male
17-3029.08-1,male
17-3029.08-2,male
17-3019.00-0,male
17-3019.00-1,male
17-3019.00-2,both
17-2051.01-0,male
17-2051.01-1,male
17-2051.01-2,male
17-3012.00-0,male
17-3012.00-1,male
17-3012.00-2,male
17-2199.11-0,both
17-2199.11-1,both
17-2199.11-2,male
17-3025.00-0,both
17-3025.00-1,both
17-3025.00-2,both
17-2111.00-0,both
17-2111.00-1,both
17-2111.00-2,both
17-1022.01-0,male
17-1022.01-1,male
17-1022.01-2,male
17-2112.02-0,both
17-2112.02-1,both
17-2112.02-2,both
19-1099.00-0,both
19-1099.00-1,both
19-1099.00-2,both
19-5012.00-0,both
19-5012.00-1,both
19-5012.00-2,both
19-3034.00-0,female
19-3034.00-1,female
19-3034.00-2,female
19-3022.00-0,both
19-3022.00-1,both
19-3022.00-2,both
19-2012.00-0,male
19-2012.00-1,male
19-2012.00-2,male
