ID,Gender
11-3051.06-0,male
11-3051.06-1,male
11-3051.06-2,male
11-9013.00-0,male
11-9013.00-1,male
11-9013.00-2,male
11-1011.03-0,both
11-1011.03-1,both
11-1011.03-2,both
11-1011.00-0,male
11-1011.00-1,male
11-1011.00-2,male
11-9151.00-0,female
11-9151.00-1,female
11-9151.00-2,female
11-9111.00-0,both
11-9111.00-1,both
11-9111.00-2,both
11-9021.00-0,male
11-9021.00-1,male
11-9021.00-2,male
11-3071.04-0,both
11-3071.04-1,both
11-3071.04-2,both
11-9131.00-0,both
11-9131.00-1,male
11-9131.00-2,male
11-9199.10-0,male
11-9199.10-1,male
11-9199.10-2,male
13-1023.00-0,both
13-1023.00-1,both
13-1023.00-2,both
13-1161.00-0,both
13-1161.00-1,both
13-1161.00-2,both
13-2061.00-0,both
13-2061.00-1,both
13-2061.00-2,both
13-2099.01-0,male
13-2099.01-1,male
13-2099.01-2,male
13-1041.08-0,both
13-1041.08-1,both
13-1041.08-2,both
13-1199.06-0,both
13-1199.06-1,both
13-1199.06-2,both
13-1074.00-0,male
13-1074.00-1,male
13-1074.00-2,male
13-1141.00-0,both
13-1141.00-1,both
13-1141.00-2,both
13-1041.01-0,both
13-1041.01-1,both
13-1041.01-2,both
13-2081.00-0,both
13-2081.00-1,both
13-2081.00-2,both
15-2051.01-0,both
15-2051.01-1,both
15-2051.01-2,both
15-1244.00-0,male
15-1244.00-1,male
15-1244.00-2,male
15-1255.00-0,both
15-1255.00-1,both
15-1255.00-2,both
15-1255.01-0,both
15-1255.01-1,both
15-1255.01-2,both
15-2021.00-0,both
15-2021.00-1,both
15-2021.00-2,both
15-1231.00-0,male
15-1231.00-1,male
15-1231.00-2,male
15-1211.00-0,both
15-1211.00-1,both
15-1211.00-2,both
15-1299.04-0,male
15-1299.04-1,male
15-1299.04-2,male
15-1251.00-0,male
15-1251.00-1,male
15-1251.00-2,male
15-1241.00-0,male
15-1241.00-1,male
15-1241.00-2,male
17-2199.11-0,both
17-2199.11-1,both
17-2199.11-2,male
17-2111.00-0,both
17-2111.00-1,both
17-2111.00-2,both
17-3028.00-0,male
17-3028.00-1,male
17-3028.00-2,male
17-2199.10-0,male
17-2199.10-1,male
17-2199.10-2,male
17-2199.06-0,male
17-2199.06-1,male
17-2199.06-2,male
17-3024.01-0,male
17-3024.01-1,male
17-3024.01-2,male
17-1021.00-0,both
17-1021.00-1,both
17-1021.00-2,both
17-2081.00-0,both
17-2081.00-1,both
17-2081.00-2,both
17-3023.00-0,male
17-3023.00-1,male
17-3023.00-2,male
17-3026.00-0,both
17-3026.00-1,both
17-3026.00-2,both
19-1021.00-0,both
19-1021.00-1,both
19-1021.00-2,both
19-3093.00-0,both
19-3093.00-1,both
19-3093.00-2,both
19-4061.00-0,female
19-4061.00-1,female
19-4061.00-2,female
19-3039.00-0,both
19-3039.00-1,both
19-3039.00-2,both
19-4099.00-0,both
19-4099.00-1,both
19-4099.00-2,both
19-2041.01-0,both
19-2041.01-1,both
19-2041.01-2,both
19-2099.00-0,both
19-2099.00-1,both
19-2099.00-2,both
19-1012.00-0,both
19-1012.00-1,both
19-1012.00-2,both
19-1029.04-0,both
19-1029.04-1,both
19-1029.04-2,both
19-1042.00-0,both
19-1042.00-1,both
19-1042.00-2,both
21-2099.00-0,female
21-2099.00-1,female
21-2099.00-2,female
21-1091.00-0,female
21-1091.00-1,female
21-1091.00-2,female
21-1029.00-0,female
21-1029.00-1,female
21-1029.00-2,female
21-1093.00-0,female
21-1093.00-1,female
21-1093.00-2,female
21-1011.00-0,female
21-1011.00-1,female
21-1011.00-2,female
21-1023.00-0,female
21-1023.00-1,female
21-1023.00-2,female
21-1019.00-0,female
21-1019.00-1,female
21-1019.00-2,female
21-1012.00-0,female
21-1012.00-1,female
21-1012.00-2,female
21-1021.00-0,female
21-1021.00-1,female
21-1021.00-2,female
21-1092.00-0,both
21-1092.00-1,both
21-1092.00-2,both
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,both
23-1021.00-1,both
23-1021.00-2,both
23-1022.00-0,both
23-1022.00-1,both
23-1022.00-2,both
23-1023.00-0,both
23-1023.00-1,both
23-1023.00-2,both
23-2011.00-0,female
23-2011.00-1,female
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,both
23-2099.00-1,female
23-2099.00-2,both
25-2022.00-0,female
25-2022.00-1,female
25-2022.00-2,female
25-1042.00-0,both
25-1042.00-1,both
25-1042.00-2,both
25-2012.00-0,female
25-2012.00-1,female
25-2012.00-2,female
25-2057.00-0,female
25-2057.00-1,female
25-2057.00-2,female
25-1051.00-0,both
25-1051.00-1,both
25-1051.00-2,both
25-1043.00-0,both
25-1043.00-1,both
25-1043.00-2,both
25-2059.01-0,female
25-2059.01-1,female
25-2059.01-2,female
25-9031.00-0,female
25-9031.00-1,female
25-9031.00-2,female
25-1125.00-0,both
