ID,Gender
11-9039.00-0,female
11-9039.00-1,both
11-9039.00-2,both
11-2011.00-0,both
11-2011.00-1,both
11-2011.00-2,both
11-9121.02-0,both
11-9121.02-1,both
11-9121.02-2,both
11-3051.00-0,male
11-3051.00-1,male
11-3051.00-2,male
11-9081.00-0,both
11-9081.00-1,both
11-9081.00-2,both
11-9013.00-0,male
11-9013.00-1,male
11-9013.00-2,both
11-2032.00-0,both
11-2032.00-1,both
11-2032.00-2,both
11-3021.00-0,male
11-3021.00-1,male
11-3021.00-2,male
11-3013.01-0,male
11-3013.01-1,male
11-3013.01-2,both
11-3071.04-0,both
11-3071.04-1,both
11-3071.04-2,both
13-1031.00-0,both
13-1031.00-1,both
13-1031.00-2,both
13-2099.01-0,male
13-2099.01-1,male
13-2099.01-2,male
13-2082.00-0,both
13-2082.00-1,both
13-2082.00-2,both
13-1041.07-0,both
13-1041.07-1,both
13-1041.07-2,both
13-2041.00-0,both
13-2041.00-1,both
13-2041.00-2,both
13-1131.00-0,both
13-1131.00-1,female
13-1131.00-2,female
13-1011.00-0,both
13-1011.00-1,both
13-1011.00-2,both
13-1041.06-0,male
13-1041.06-1,male
13-1041.06-2,male
13-2052.00-0,both
13-2052.00-1,both
13-2052.00-2,both
13-1075.00-0,female
13-1075.00-1,female
13-1075.00-2,female
15-1241.01-0,male
15-1241.01-1,male
15-1241.01-2,male
15-1255.00-0,both
15-1255.00-1,both
15-1255.00-2,both
15-2011.00-0,both
15-2011.00-1,both
15-2011.00-2,male
15-1299.00-0,both
15-1299.00-1,both
15-1299.00-2,male
15-1243.01-0,both
15-1243.01-1,both
15-1243.01-2,both
15-2021.00-0,both
15-2021.00-1,both
15-2021.00-2,both
15-1231.00-0,both
15-1231.00-1,both
15-1231.00-2,both
15-2099.00-0,both
15-2099.00-1,both
15-2099.00-2,male
15-1241.00-0,male
15-1241.00-1,male
15-1241.00-2,male
15-1299.05-0,male
15-1299.05-1,both
15-1299.05-2,male
17-2071.00-0,male
17-2071.00-1,male
17-2071.00-2,male
17-2199.00-0,both
17-2199.00-1,both
17-2199.00-2,both
17-3013.00-0,male
17-3013.00-1,male
17-3013.00-2,male
17-2112.00-0,both
17-2112.00-1,both
17-2112.00-2,both
17-3019.00-0,both
17-3019.00-1,male
17-3019.00-2,both
17-3023.00-0,both
17-3023.00-1,both
17-3023.00-2,male
17-3012.00-0,male
17-3012.00-1,male
17-3012.00-2,male
17-2141.00-0,both
17-2141.00-1,male
17-2141.00-2,male
17-2111.00-0,both
17-2111.00-1,both
17-2111.00-2,both
17-2041.00-0,both
17-2041.00-1,both
17-2041.00-2,both
19-2021.00-0,both
19-2021.00-1,both
19-2021.00-2,both
19-1029.00-0,both
19-1029.00-1,both
