ID,Gender
11-9121.00-0,male
11-9121.00-1,both
11-9121.00-2,male
11-9013.00-0,both
11-9013.00-1,both
11-9013.00-2,male
11-9199.09-0,male
11-9199.09-1,male
11-9199.09-2,male
11-3021.00-0,male
11-3021.00-1,male
11-3021.00-2,male
11-9021.00-0,male
11-9021.00-1,male
11-9021.00-2,male
11-1031.00-0,both
11-1031.00-1,both
11-1031.00-2,both
11-3012.00-0,both
11-3012.00-1,both
11-3012.00-2,both
11-9121.02-0,both
11-9121.02-1,both
11-9121.02-2,both
11-9072.00-0,female
11-9072.00-1,female
11-9072.00-2,female
11-2033.00-0,female
11-2033.00-1,female
11-2033.00-2,female
13-2022.00-0,both
13-2022.00-1,both
13-2022.00-2,both
13-2082.00-0,both
13-2082.00-1,both
13-2082.00-2,both
13-1011.00-0,both
13-1011.00-1,both
13-1011.00-2,both
13-2031.00-0,both
13-2031.00-1,both
13-2031.00-2,both
13-1022.00-0,both
13-1022.00-1,both
13-1022.00-2,both
13-1051.00-0,male
13-1051.00-1,male
13-1051.00-2,male
13-1151.00-0,female
13-1151.00-1,female
13-1151.00-2,female
13-1199.05-0,both
13-1199.05-1,both
13-1199.05-2,both
13-2054.00-0,male
13-2054.00-1,male
13-2054.00-2,male
13-1071.00-0,female
13-1071.00-1,female
13-1071.00-2,female
15-2031.00-0,both
15-2031.00-1,both
15-2031.00-2,both
15-1299.02-0,both
15-1299.02-1,both
15-1299.02-2,both
15-1241.00-0,male
15-1241.00-1,male
15-1241.00-2,male
15-1255.01-0,both
15-1255.01-1,both
15-1255.01-2,both
15-1243.01-0,male
15-1243.01-1,both
15-1243.01-2,both
15-1299.05-0,male
15-1299.05-1,male
15-1299.05-2,male
15-1243.00-0,male
15-1243.00-1,both
15-1243.00-2,male
15-1253.00-0,both
15-1253.00-1,both
15-1253.00-2,both
15-1255.00-0,both
15-1255.00-1,both
15-1255.00-2,both
15-1241.01-0,male
15-1241.01-1,male
15-1241.01-2,male
17-1021.00-0,both
17-1021.00-1,both
17-1021.00-2,both
17-3025.00-0,both
17-3025.00-1,both
17-3025.00-2,both
17-2151.00-0,male
17-2151.00-1,male
17-2151.00-2,male
17-1012.00-0,both
17-1012.00-1,both
17-1012.00-2,both
17-1022.00-0,male
17-1022.00-1,male
17-1022.00-2,male
17-2199.10-0,male
17-2199.10-1,male
17-2199.10-2,male
17-3012.00-0,male
17-3012.00-1,male
17-3012.00-2,male
17-3026.01-0,both
17-3026.01-1,both
17-3026.01-2,both
17-2112.00-0,male
17-2112.00-1,male
17-2112.00-2,male
17-2072.00-0,male
17-2072.00-1,male
17-2072.00-2,male
19-3094.00-0,both
19-3094.00-1,both
19-3094.00-2,both
19-4061.00-0,female
19-4061.00-1,female
19-4061.00-2,female
19-2041.01-0,both
19-2041.01-1,both
19-2041.01-2,both
19-1042.00-0,both
19-1042.00-1,both
19-1042.00-2,both
19-4099.00-0,both
19-4099.00-1,both
19-4099.00-2,both
19-1029.01-0,both
19-1029.01-1,both
19-1029.01-2,both
19-1041.00-0,both
19-1041.00-1,both
19-1041.00-2,both
19-3039.00-0,both
19-3039.00-1,both
19-3039.00-2,both
19-1029.02-0,both
19-1029.02-1,both
19-1029.02-2,both
19-2099.01-0,both
19-2099.01-1,both
19-2099.01-2,both
21-2021.00-0,female
21-2021.00-1,female
21-2021.00-2,female
21-1094.00-0,female
21-1094.00-1,female
21-1094.00-2,female
21-1091.00-0,female
21-1091.00-1,female
21-1091.00-2,female
21-1015.00-0,female
21-1015.00-1,female
21-1015.00-2,female
21-2011.00-0,both
21-2011.00-1,both
21-2011.00-2,both
21-1092.00-0,female
21-1092.00-1,female
21-1092.00-2,female
21-1023.00-0,female
21-1023.00-1,female
21-1023.00-2,female
21-2099.00-0,female
21-2099.00-1,female
21-2099.00-2,female
21-1019.00-0,female
21-1019.00-1,female
21-1019.00-2,female
21-1013.00-0,female
21-1013.00-1,female
21-1013.00-2,female
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,both
23-1021.00-1,both
23-1021.00-2,both
23-1022.00-0,both
23-1022.00-1,both
23-1022.00-2,both
23-1023.00-0,both
23-1023.00-1,both
23-1023.00-2,both
23-2011.00-0,female
23-2011.00-1,female
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,female
23-2099.00-1,female
