ID,Gender
11-9121.01-0,female
11-9121.01-1,female
11-9121.01-2,female
11-2011.00-0,both
11-2011.00-1,both
11-2011.00-2,both
11-9071.00-0,male
11-9071.00-1,male
11-9071.00-2,male
11-1031.00-0,both
11-1031.00-1,both
11-1031.00-2,both
11-9199.02-0,both
11-9199.02-1,both
11-9199.02-2,both
11-3031.01-0,male
11-3031.01-1,male
11-3031.01-2,male
11-2033.00-0,female
11-2033.00-1,female
11-2033.00-2,female
11-9121.00-0,male
11-9121.00-1,both
11-9121.00-2,male
11-9199.09-0,male
11-9199.09-1,male
11-9199.09-2,male
11-9161.00-0,both
11-9161.00-1,both
11-9161.00-2,male
13-1082.00-0,both
13-1082.00-1,both
13-1082.00-2,both
13-1199.04-0,both
13-1199.04-1,both
13-1199.04-2,both
13-1081.02-0,both
13-1081.02-1,both
13-1081.02-2,both
13-2023.00-0,both
13-2023.00-1,both
13-2023.00-2,both
13-2099.01-0,male
13-2099.01-1,male
13-2099.01-2,male
13-2053.00-0,both
13-2053.00-1,both
13-2053.00-2,both
13-2031.00-0,both
13-2031.00-1,both
13-2031.00-2,both
13-1111.00-0,both
13-1111.00-1,both
13-1111.00-2,both
13-1199.06-0,both
13-1199.06-1,both
13-1199.06-2,both
13-1199.07-0,male
13-1199.07-1,male
13-1199.07-2,male
15-1232.00-0,male
15-1232.00-1,both
15-1232.00-2,both
15-1255.01-0,both
15-1255.01-1,both
15-1255.01-2,both
15-1221.00-0,male
15-1221.00-1,male
15-1221.00-2,male
15-1299.09-0,both
15-1299.09-1,both
15-1299.09-2,both
15-1299.00-0,male
15-1299.00-1,male
15-1299.00-2,male
15-1241.01-0,male
15-1241.01-1,male
15-1241.01-2,male
15-1211.01-0,both
15-1211.01-1,both
15-1211.01-2,both
15-1251.00-0,male
15-1251.00-1,male
15-1251.00-2,male
15-2021.00-0,both
15-2021.00-1,male
15-2021.00-2,both
15-2051.01-0,both
15-2051.01-1,both
15-2051.01-2,both
17-3024.01-0,male
17-3024.01-1,male
17-3024.01-2,male
17-2131.00-0,male
17-2131.00-1,male
17-2131.00-2,male
17-2199.00-0,both
17-2199.00-1,both
17-2199.00-2,both
17-1021.00-0,both
17-1021.00-1,both
17-1021.00-2,both
17-1022.01-0,male
17-1022.01-1,male
17-1022.01-2,male
17-2161.00-0,male
17-2161.00-1,male
17-2161.00-2,male
17-1011.00-0,both
17-1011.00-1,both
17-1011.00-2,both
17-1012.00-0,both
17-1012.00-1,both
17-1012.00-2,both
17-3025.00-0,both
17-3025.00-1,both
17-3025.00-2,both
17-3027.01-0,male
17-3027.01-1,male
17-3027.01-2,male
19-1013.00-0,both
19-1013.00-1,both
19-1013.00-2,both
19-2041.03-0,both
19-2041.03-1,both
19-2041.03-2,both
19-1022.00-0,both
19-1022.00-1,both
19-1022.00-2,both
19-1029.02-0,both
19-1029.02-1,both
19-1029.02-2,both
19-4044.00-0,both
19-4044.00-1,both
19-4044.00-2,both
19-2043.00-0,both
19-2043.00-1,both
19-2043.00-2,both
19-4043.00-0,male
19-4043.00-1,both
19-4043.00-2,both
19-1031.03-0,female
19-1031.03-1,female
19-1031.03-2,female
19-1041.00-0,both
19-1041.00-1,both
19-1041.00-2,both
19-4099.01-0,both
19-4099.01-1,both
19-4099.01-2,both
21-1011.00-0,female
21-1011.00-1,female
21-1011.00-2,female
21-2021.00-0,female
21-2021.00-1,female
21-2021.00-2,female
21-1092.00-0,female
21-1092.00-1,female
21-1092.00-2,both
21-1019.00-0,female
21-1019.00-1,female
21-1019.00-2,female
21-1021.00-0,female
21-1021.00-1,female
21-1021.00-2,female
21-1099.00-0,female
21-1099.00-1,female
21-1099.00-2,female
21-1093.00-0,female
21-1093.00-1,female
21-1093.00-2,female
21-1014.00-0,female
21-1014.00-1,female
21-1014.00-2,female
21-1013.00-0,female
21-1013.00-1,female
21-1013.00-2,female
21-1094.00-0,female
21-1094.00-1,female
21-1094.00-2,female
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,both
23-1021.00-1,both
23-1021.00-2,both
23-1022.00-0,both
23-1022.00-1,both
23-1022.00-2,both
23-1023.00-0,both
23-1023.00-1,both
23-1023.00-2,both
23-2011.00-0,female
23-2011.00-1,female
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
