ID,Gender
11-2033.00-0,female
11-2033.00-1,female
11-2033.00-2,female
11-9141.00-0,both
11-9141.00-1,both
11-9141.00-2,both
11-3051.01-0,male
11-3051.01-1,male
11-3051.01-2,male
11-3031.00-0,male
11-3031.00-1,male
11-3031.00-2,male
11-9199.11-0,male
11-9199.11-1,male
11-9199.11-2,male
11-2011.00-0,both
11-2011.00-1,both
11-2011.00-2,both
11-9199.00-0,both
11-9199.00-1,both
11-9199.00-2,both
11-9039.00-0,both
11-9039.00-1,female
11-9039.00-2,female
11-1011.00-0,male
11-1011.00-1,male
11-1011.00-2,male
11-3071.00-0,male
11-3071.00-1,male
11-3071.00-2,male
13-1041.08-0,both
13-1041.08-1,both
13-1041.08-2,both
13-2011.00-0,both
13-2011.00-1,both
13-2011.00-2,both
13-1161.01-0,both
13-1161.01-1,both
13-1161.01-2,both
13-2052.00-0,both
13-2052.00-1,both
13-2052.00-2,both
13-1041.06-0,male
13-1041.06-1,male
13-1041.06-2,both
13-2041.00-0,both
13-2041.00-1,both
13-2041.00-2,both
13-1075.00-0,both
13-1075.00-1,both
13-1075.00-2,both
13-1199.06-0,both
13-1199.06-1,both
13-1199.06-2,both
13-1131.00-0,female
13-1131.00-1,female
13-1131.00-2,female
13-2053.00-0,both
13-2053.00-1,both
13-2053.00-2,male
15-1241.01-0,male
15-1241.01-1,male
15-1241.01-2,male
15-1299.05-0,male
15-1299.05-1,male
15-1299.05-2,male
15-1212.00-0,male
15-1212.00-1,male
15-1212.00-2,male
15-1221.00-0,male
15-1221.00-1,male
15-1221.00-2,male
15-1244.00-0,male
15-1244.00-1,male
15-1244.00-2,male
15-2051.01-0,both
15-2051.01-1,both
15-2051.01-2,both
15-1252.00-0,male
15-1252.00-1,male
15-1252.00-2,male
15-1299.06-0,male
15-1299.06-1,male
15-1299.06-2,male
15-1242.00-0,both
15-1242.00-1,both
15-1242.00-2,male
15-1254.00-0,both
15-1254.00-1,both
15-1254.00-2,male
17-3029.00-0,male
17-3029.00-1,male
17-3029.00-2,male
17-3027.01-0,male
17-3027.01-1,male
17-3027.01-2,male
17-2199.00-0,both
17-2199.00-1,both
17-2199.00-2,both
17-2051.00-0,male
17-2051.00-1,male
17-2051.00-2,male
17-2199.07-0,male
17-2199.07-1,male
17-2199.07-2,male
17-2199.03-0,male
17-2199.03-1,male
17-2199.03-2,male
17-3026.00-0,male
17-3026.00-1,male
17-3026.00-2,male
17-2112.02-0,both
17-2112.02-1,both
17-2112.02-2,both
17-2111.02-0,male
17-2111.02-1,male
17-2111.02-2,male
17-3029.01-0,male
17-3029.01-1,male
17-3029.01-2,male
19-3051.00-0,both
19-3051.00-1,both
19-3051.00-2,both
19-3032.00-0,both
19-3032.00-1,both
19-3032.00-2,both
19-4071.00-0,male
19-4071.00-1,male
19-4071.00-2,male
19-3039.03-0,both
19-3039.03-1,both
19-3039.03-2,both
19-3041.00-0,both
19-3041.00-1,both
19-3041.00-2,both
