ID,Gender
11-9121.00-0,both
11-9121.00-1,both
11-9121.00-2,both
11-9179.02-0,female
11-9179.02-1,female
11-9179.02-2,female
11-3051.00-0,male
11-3051.00-1,male
11-3051.00-2,male
11-3071.00-0,male
11-3071.00-1,male
11-3071.00-2,male
11-9032.00-0,female
11-9032.00-1,female
11-9032.00-2,female
11-2021.00-0,female
11-2021.00-1,both
11-2021.00-2,both
11-9051.00-0,female
11-9051.00-1,both
11-9051.00-2,female
11-3071.04-0,both
11-3071.04-1,male
11-3071.04-2,both
11-9179.00-0,female
11-9179.00-1,female
11-9179.00-2,female
11-9199.08-0,male
11-9199.08-1,male
11-9199.08-2,male
13-2081.00-0,both
13-2081.00-1,both
13-2081.00-2,both
13-1111.00-0,both
13-1111.00-1,both
13-1111.00-2,both
13-1081.00-0,male
13-1081.00-1,male
13-1081.00-2,both
13-1041.08-0,both
13-1041.08-1,both
13-1041.08-2,both
13-1032.00-0,male
13-1032.00-1,both
13-1032.00-2,male
13-2082.00-0,both
13-2082.00-1,both
13-2082.00-2,both
13-2011.00-0,both
13-2011.00-1,both
13-2011.00-2,both
13-1021.00-0,male
13-1021.00-1,male
13-1021.00-2,male
13-2099.01-0,male
13-2099.01-1,male
13-2099.01-2,male
13-2051.00-0,male
13-2051.00-1,male
13-2051.00-2,male
15-2011.00-0,male
15-2011.00-1,male
15-2011.00-2,both
15-1299.06-0,male
15-1299.06-1,male
15-1299.06-2,male
15-2031.00-0,both
15-2031.00-1,both
15-2031.00-2,both
15-1299.00-0,both
15-1299.00-1,male
15-1299.00-2,both
15-1299.09-0,both
15-1299.09-1,both
15-1299.09-2,both
15-1299.01-0,both
15-1299.01-1,both
15-1299.01-2,both
15-1241.01-0,male
15-1241.01-1,male
15-1241.01-2,male
15-2051.00-0,both
15-2051.00-1,both
15-2051.00-2,both
15-1244.00-0,male
15-1244.00-1,male
15-1244.00-2,male
15-1211.01-0,both
15-1211.01-1,both
15-1211.01-2,both
17-3027.01-0,male
17-3027.01-1,male
17-3027.01-2,male
17-3028.00-0,both
17-3028.00-1,both
17-3028.00-2,both
17-3013.00-0,male
17-3013.00-1,male
17-3013.00-2,male
17-2051.02-0,male
17-2051.02-1,male
17-2051.02-2,male
17-2199.05-0,male
17-2199.05-1,male
17-2199.05-2,male
17-3022.00-0,male
17-3022.00-1,male
17-3022.00-2,male
17-2072.00-0,male
17-2072.00-1,male
17-2072.00-2,male
17-1012.00-0,female
17-1012.00-1,both
17-1012.00-2,both
17-3027.00-0,male
17-3027.00-1,male
17-3027.00-2,male
17-3026.01-0,both
17-3026.01-1,both
17-3026.01-2,both
19-2041.02-0,both
19-2041.02-1,both
19-2041.02-2,both
19-3039.02-0,female
19-3039.02-1,female
19-3039.02-2,both
19-4099.01-0,both
19-4099.01-1,both
19-4099.01-2,both
19-3039.00-0,female
19-3039.00-1,female
19-3039.00-2,female
19-3011.00-0,both
19-3011.00-1,male
19-3011.00-2,both
19-2011.00-0,both
19-2011.00-1,male
19-2011.00-2,male
19-1029.00-0,both
19-1029.00-1,both
19-1029.00-2,both
19-4043.00-0,both
19-4043.00-1,male
19-4043.00-2,both
19-3022.00-0,both
19-3022.00-1,both
19-3022.00-2,both
19-3099.01-0,both
19-3099.01-1,both
19-3099.01-2,both
21-2021.00-0,female
21-2021.00-1,female
21-2021.00-2,female
21-1022.00-0,female
21-1022.00-1,female
21-1022.00-2,female
21-1093.00-0,female
21-1093.00-1,female
21-1093.00-2,female
21-1012.00-0,female
21-1012.00-1,female
21-1012.00-2,female
21-1092.00-0,female
21-1092.00-1,female
21-1092.00-2,female
21-1023.00-0,female
21-1023.00-1,female
21-1023.00-2,female
21-1019.00-0,female
21-1019.00-1,female
21-1019.00-2,female
21-1099.00-0,female
21-1099.00-1,female
21-1099.00-2,female
21-1014.00-0,female
21-1014.00-1,female
21-1014.00-2,female
21-1013.00-0,female
21-1013.00-1,female
21-1013.00-2,female
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,male
23-1021.00-1,both
23-1021.00-2,male
23-1022.00-0,female
23-1022.00-1,female
23-1022.00-2,female
23-1023.00-0,male
23-1023.00-1,both
23-1023.00-2,both
23-2011.00-0,female
23-2011.00-1,female
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,female
23-2099.00-1,female
23-2099.00-2,female
25-1066.00-0,female
25-1066.00-1,female
25-1066.00-2,female
25-2011.00-0,female
25-2011.00-1,female
25-2011.00-2,female
25-2056.00-0,female
25-2056.00-1,female
25-2056.00-2,female
25-1031.00-0,both
25-1031.00-1,female
25-1031.00-2,both
25-1081.00-0,female
25-1081.00-1,both
25-1081.00-2,female
25-1069.00-0,female
25-1069.00-1,female
25-1069.00-2,female
25-1032.00-0,both
25-1032.00-1,both
25-1032.00-2,both
25-1065.00-0,both
25-1065.00-1,both
25-1065.00-2,both
25-1043.00-0,female
25-1043.00-1,female
25-1043.00-2,female
