ID,Gender
11-3031.00-0,male
11-3031.00-1,male
11-3031.00-2,male
11-9179.00-0,female
11-9179.00-1,female
11-9179.00-2,female
11-3131.00-0,female
11-3131.00-1,female
11-3131.00-2,female
11-2022.00-0,male
11-2022.00-1,male
11-2022.00-2,male
11-9072.00-0,both
11-9072.00-1,both
11-9072.00-2,both
11-3031.03-0,male
11-3031.03-1,male
11-3031.03-2,male
11-3071.04-0,male
11-3071.04-1,both
11-3071.04-2,both
11-9121.02-0,both
11-9121.02-1,female
11-9121.02-2,both
11-9039.00-0,female
11-9039.00-1,female
11-9039.00-2,female
11-3061.00-0,male
11-3061.00-1,male
11-3061.00-2,male
13-1151.00-0,both
13-1151.00-1,both
13-1151.00-2,both
13-1081.00-0,both
13-1081.00-1,both
13-1081.00-2,male
13-2072.00-0,both
13-2072.00-1,both
13-2072.00-2,both
13-1021.00-0,male
13-1021.00-1,male
13-1021.00-2,male
13-1199.00-0,both
13-1199.00-1,both
13-1199.00-2,both
13-2051.00-0,male
13-2051.00-1,male
13-2051.00-2,male
13-1075.00-0,female
13-1075.00-1,female
13-1075.00-2,female
13-1161.00-0,both
13-1161.00-1,both
13-1161.00-2,both
13-2031.00-0,both
13-2031.00-1,both
13-2031.00-2,both
13-2061.00-0,male
13-2061.00-1,male
13-2061.00-2,male
15-1221.00-0,male
15-1221.00-1,male
15-1221.00-2,male
15-1254.00-0,both
15-1254.00-1,both
15-1254.00-2,both
15-2051.02-0,both
15-2051.02-1,both
15-2051.02-2,both
15-1212.00-0,both
15-1212.00-1,male
15-1212.00-2,male
15-1211.01-0,both
15-1211.01-1,both
15-1211.01-2,both
15-1211.00-0,both
15-1211.00-1,both
15-1211.00-2,both
15-1252.00-0,male
15-1252.00-1,both
15-1252.00-2,male
15-1299.05-0,male
15-1299.05-1,male
15-1299.05-2,male
15-2099.01-0,both
15-2099.01-1,both
15-2099.01-2,both
15-1299.08-0,male
15-1299.08-1,male
15-1299.08-2,male
17-2031.00-0,both
17-2031.00-1,both
17-2031.00-2,both
17-2061.00-0,male
17-2061.00-1,male
17-2061.00-2,male
17-2199.08-0,male
17-2199.08-1,male
17-2199.08-2,male
17-2199.11-0,both
17-2199.11-1,both
17-2199.11-2,both
17-1021.00-0,both
17-1021.00-1,both
17-1021.00-2,both
17-2112.02-0,both
17-2112.02-1,both
17-2112.02-2,male
17-3013.00-0,male
17-3013.00-1,male
17-3013.00-2,male
17-3026.00-0,male
17-3026.00-1,male
17-3026.00-2,male
17-1022.01-0,male
17-1022.01-1,male
17-1022.01-2,male
17-2051.00-0,male
17-2051.00-1,male
17-2051.00-2,male
19-1022.00-0,both
19-1022.00-1,both
19-1022.00-2,both
19-2011.00-0,both
19-2011.00-1,male
19-2011.00-2,male
19-1012.00-0,female
19-1012.00-1,female
19-1012.00-2,both
19-3099.01-0,both
19-3099.01-1,both
19-3099.01-2,both
19-2021.00-0,both
19-2021.00-1,both
19-2021.00-2,both
19-3039.00-0,female
19-3039.00-1,female
19-3039.00-2,both
19-4043.00-0,male
19-4043.00-1,male
19-4043.00-2,male
19-2031.00-0,both
19-2031.00-1,both
19-2031.00-2,both
19-2032.00-0,male
19-2032.00-1,male
19-2032.00-2,male
19-4031.00-0,both
19-4031.00-1,female
19-4031.00-2,female
21-1021.00-0,female
21-1021.00-1,female
21-1021.00-2,female
21-1099.00-0,female
21-1099.00-1,female
21-1099.00-2,female
21-1094.00-0,female
21-1094.00-1,female
21-1094.00-2,female
21-1093.00-0,female
21-1093.00-1,female
21-1093.00-2,female
21-1022.00-0,female
21-1022.00-1,female
21-1022.00-2,female
21-1014.00-0,female
21-1014.00-1,female
21-1014.00-2,female
21-1012.00-0,female
21-1012.00-1,female
21-1012.00-2,female
21-1023.00-0,female
21-1023.00-1,female
21-1023.00-2,female
