ID,Gender
11-9121.00-0,male
11-9121.00-1,both
11-9121.00-2,male
11-2033.00-0,female
11-2033.00-1,female
11-2033.00-2,female
11-9081.00-0,both
11-9081.00-1,both
11-9081.00-2,both
11-2011.00-0,both
11-2011.00-1,both
11-2011.00-2,both
11-9121.01-0,both
11-9121.01-1,both
11-9121.01-2,both
11-3061.00-0,both
11-3061.00-1,both
11-3061.00-2,both
11-9179.00-0,both
11-9179.00-1,both
11-9179.00-2,female
11-9072.00-0,both
11-9072.00-1,both
11-9072.00-2,female
11-1021.00-0,both
11-1021.00-1,both
11-1021.00-2,both
11-9199.10-0,male
11-9199.10-1,male
11-9199.10-2,male
13-1022.00-0,both
13-1022.00-1,both
13-1022.00-2,both
13-2031.00-0,both
13-2031.00-1,both
13-2031.00-2,both
13-1041.04-0,both
13-1041.04-1,both
13-1041.04-2,both
13-2071.00-0,female
13-2071.00-1,female
13-2071.00-2,female
13-1199.00-0,both
13-1199.00-1,both
13-1199.00-2,both
13-1021.00-0,both
13-1021.00-1,both
13-1021.00-2,male
13-2053.00-0,both
13-2053.00-1,both
13-2053.00-2,both
13-1121.00-0,female
13-1121.00-1,female
13-1121.00-2,female
13-1151.00-0,female
13-1151.00-1,both
13-1151.00-2,both
13-1161.00-0,both
13-1161.00-1,both
13-1161.00-2,both
15-1212.00-0,both
15-1212.00-1,both
15-1212.00-2,both
15-1299.00-0,male
15-1299.00-1,both
15-1299.00-2,male
15-1255.01-0,both
15-1255.01-1,both
15-1255.01-2,both
15-1251.00-0,male
15-1251.00-1,male
15-1251.00-2,male
15-1211.00-0,both
15-1211.00-1,both
15-1211.00-2,both
15-1242.00-0,both
15-1242.00-1,both
15-1242.00-2,both
15-1253.00-0,both
15-1253.00-1,both
15-1253.00-2,both
15-1299.01-0,both
15-1299.01-1,both
15-1299.01-2,both
15-1299.08-0,male
15-1299.08-1,male
15-1299.08-2,male
15-2099.01-0,both
15-2099.01-1,both
15-2099.01-2,both
17-2199.11-0,both
17-2199.11-1,both
17-2199.11-2,both
17-1022.00-0,male
17-1022.00-1,male
17-1022.00-2,male
17-2141.01-0,male
17-2141.01-1,male
17-2141.01-2,both
17-2199.09-0,both
17-2199.09-1,both
17-2199.09-2,male
17-3026.00-0,both
17-3026.00-1,both
17-3026.00-2,male
17-3025.00-0,both
17-3025.00-1,both
17-3025.00-2,both
17-2199.10-0,male
17-2199.10-1,male
17-2199.10-2,male
17-2112.00-0,both
17-2112.00-1,both
17-2112.00-2,both
17-1011.00-0,both
17-1011.00-1,both
17-1011.00-2,both
17-2161.00-0,male
17-2161.00-1,male
17-2161.00-2,male
19-3022.00-0,both
19-3022.00-1,both
19-3022.00-2,both
19-4012.01-0,both
19-4012.01-1,male
19-4012.01-2,male
19-3093.00-0,both
19-3093.00-1,both
19-3093.00-2,both
19-2099.00-0,both
19-2099.00-1,male
19-2099.00-2,both
19-4044.00-0,both
19-4044.00-1,both
19-4044.00-2,both
19-4092.00-0,both
19-4092.00-1,both
19-4092.00-2,both
19-4051.02-0,male
19-4051.02-1,male
19-4051.02-2,male
19-5012.00-0,both
19-5012.00-1,both
19-5012.00-2,both
19-4031.00-0,both
19-4031.00-1,both
19-4031.00-2,both
19-4043.00-0,both
19-4043.00-1,both
19-4043.00-2,both
21-1022.00-0,female
21-1022.00-1,female
21-1022.00-2,female
21-2099.00-0,female
21-2099.00-1,both
21-2099.00-2,both
21-1013.00-0,female
21-1013.00-1,female
21-1013.00-2,female
21-1099.00-0,female
21-1099.00-1,female
21-1099.00-2,female
21-1015.00-0,female
21-1015.00-1,female
21-1015.00-2,female
21-1014.00-0,female
21-1014.00-1,female
21-1014.00-2,female
21-1094.00-0,female
21-1094.00-1,female
21-1094.00-2,female
21-1023.00-0,female
21-1023.00-1,female
21-1023.00-2,female
21-1091.00-0,female
21-1091.00-1,female
21-1091.00-2,female
21-1021.00-0,female
21-1021.00-1,female
21-1021.00-2,female
23-1011.00-0,both
23-1011.00-1,both
23-1011.00-2,both
23-1012.00-0,both
23-1012.00-1,both
23-1012.00-2,both
23-1021.00-0,both
23-1021.00-1,both
23-1021.00-2,both
23-1022.00-0,both
23-1022.00-1,both
23-1022.00-2,female
23-1023.00-0,both
23-1023.00-1,both
23-1023.00-2,both
23-2011.00-0,female
23-2011.00-1,female
23-2011.00-2,female
23-2093.00-0,both
23-2093.00-1,both
23-2093.00-2,both
23-2099.00-0,both
23-2099.00-1,both
